instance_id,hash,declared_clauses,kept_clauses,variables,variables_dropped,nodes,edges,sampled,build_seconds
sat/10-3-13.cnf.bz2,241cae32aeae264c2014b4ed0e149cdd,922204,200000,27606,2166,255212,579742,1,2.233
sat/10-4-10.cnf.bz2,616ff4fd40ffb6b6f628b0e77f4f6c9c,2670467,200000,70209,10107,340418,582629,1,5.319
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,f16a1da5c1f0ab9969f622a1d8dc11ac,1120,1120,320,0,1760,3360,0,0.008
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,e4e212eca714fc5458e0daf485da492a,1120,1120,320,0,1760,3360,0,0.006
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,833511434f9a21861fde44bb8dbf0295,1120,1120,320,0,1760,3360,0,0.006
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,f09f81bbbe75fc5083515ec9b586afb9,1120,1120,320,0,1760,3360,0,0.006
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,072785fd927ff0fd180ce8b9cc00078f,1120,1120,320,0,1760,3360,0,0.005
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,e1caf89759a7dea99908ea8adb6acca4,1120,1120,320,0,1760,3360,0,0.005
sat/20180321_140833987_p_cnf_320_1120.cnf.bz2,29a5ffb47a49a6d240e08e207f320052,1120,1120,320,0,1760,3360,0,0.006
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,5720517e098b74fdf0616d797e327a9d,1120,1120,320,0,1760,3360,0,0.006
sat/20180322_164224543_p_cnf_320_1120.cnf.bz2,6c63eab967a2d2aee6c73f08963fe6ba,1120,1120,320,0,1760,3360,0,0.005
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,d447374ab066d782661638ee4bec8a6d,1120,1120,320,0,1760,3360,0,0.005
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,a9798281fd0900a65d6f69c6978fb443,1120,1120,320,0,1760,3360,0,0.006
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,3916d72a4f1795b1c624087c4e0102a1,1120,1120,320,0,1760,3360,0,0.006
sat/20180322_164241842_p_cnf_320_1120.cnf.bz2,2a5faba0239d2d40929b8ebda8c51f1e,1120,1120,320,0,1760,3360,0,0.005
sat/20180322_164245263_p_cnf_320_1120.cnf.bz2,2d5cc23d8d805a0cf65141e4b4401ba4,1120,1120,320,0,1760,3360,0,0.005
sat/20180326_095801070_p_cnf_320_1120.cnf.bz2,68687b76b8bbdfc3401b9fbed2e94ffa,1120,1120,320,0,1760,3360,0,0.005
sat/20180326_095805836_p_cnf_320_1120.cnf.bz2,618e82c35b17ee100a3f13ca18a2e537,1120,1120,320,0,1760,3360,0,0.005
sat/6-3-8.cnf.bz2,b004a860aa472a75b393c9fa934d409f,91638,91638,5903,0,103444,257747,0,0.331
sat/6-4-6.cnf.bz2,e2f36e5dc43c82b17b34e5129bca3772,248329,200000,14716,604,229432,565677,1,0.939
sat/6-4-7.cnf.bz2,8db318b63d0689c8396eadf97879a046,336893,200000,16876,1492,233752,567995,1,1.032
sat/6-5-6.cnf.bz2,ef7c01b088be93a5cddad67853b35e03,790501,200000,33562,6928,267124,569960,1,1.828
sat/7-4-7.cnf.bz2,4a6798e1b043f81b71db5734e0a128a3,519560,200000,22673,2773,245346,572017,1,1.342
sat/7-5-6.cnf.bz2,655995219ca8db20470540fe9e0b0b71,1217329,200000,46809,9275,293618,573870,1,2.555
sat/8-4-10.cnf.bz2,e544baa72f56e45f9acd0a02b272d4be,1490919,200000,43913,6499,287826,578392,1,3.106
sat/8-4-8.cnf.bz2,60317159a0e3c8391d60103eb0b3d530,968786,200000,34475,4795,268950,576585,1,2.176
sat/8-4-9.cnf.bz2,a1fe3a0ef9e24d357270316154296954,1216293,200000,39269,5617,278538,577766,1,2.557
sat/8-5-6.cnf.bz2,024af9416f8c1dad1b4f974757e38d51,1752053,200000,62336,11788,324672,576100,1,3.559
sat/9-4-10.cnf.bz2,7898e4cb7c071c91f36319399d0c6933,2032097,200000,56530,8026,313060,580094,1,4.017
sat/9-4-9.cnf.bz2,dd926bb427ade42f65444c65bc7e80dc,1660798,200000,50330,7038,300660,579264,1,3.296
sat/a_rphp035_05.cnf.bz2,217256b141ade2c4d06120f01360f63a,4118,4118,367,0,4852,15442,0,0.019
sat/a_rphp045_05.cnf.bz2,0a81c16b871ab1a63046cc99041f4e47,6643,6643,472,0,7587,25252,0,0.028
sat/a_rphp055_04.cnf.bz2,e7efa5b7f4a6358f6b4af4051938fe2c,7278,7278,467,0,8212,28000,0,0.031
sat/a_rphp056_05.cnf.bz2,b119165e8b1a21c5a2d9d382eefcf122,10225,10225,588,0,11401,39256,0,0.042
sat/a_rphp065_04.cnf.bz2,49f527a4f7e4fe295aa756c1fefb9d45,10063,10063,552,0,11167,38940,0,0.043
sat/a_rphp085_04.cnf.bz2,45c29ed9f56511fb8800e91fca228740,16983,16983,722,0,18427,66220,0,0.075
sat/a_rphp098_04.cnf.bz2,183d151693172be95f047880198a586a,22593,22593,833,0,24259,88396,0,0.098
sat/ad-A-3-7-17.cnf.bz2,5677e2c2ebca84a13922664f84b363a3,440901,200000,30511,21,261022,546960,1,1.204
sat/ae_rphp035_05.cnf.bz2,88a3fd31ea2cbdbe596ead8e01b6cbd9,6728,6728,2977,0,12682,20662,0,0.026
sat/ae_rphp045_05.cnf.bz2,1bc64571a2d63584f376db792e8d4acb,10903,10903,4732,0,20367,33772,0,0.039
sat/ae_rphp055_04.cnf.bz2,d612eee37ec14cf8ba2f2aa3579d3ae7,11996,11996,5185,0,22366,37436,0,0.043
sat/ae_rphp056_05.cnf.bz2,2f96882c6bf532587ff779b4aa9b7405,16762,16762,7125,0,31012,52330,0,0.061
sat/ae_rphp062_05.cnf.bz2,4267e1ab8473d6d6e532c52f2c2ab8bf,20419,20419,8634,0,37687,63892,0,0.076
sat/ae_rphp075_04.cnf.bz2,b6fee10cb9e4834fab599f6e9a25620c,21986,21986,9325,0,40636,69056,0,0.08
sat/ae_rphp095_04.cnf.bz2,0b718ab9c97252d173487b79e0d1101a,34976,34976,14665,0,64306,110276,0,0.133
sat/apn-sbox5-cut3-symmbreak.cnf.bz2,1e3c3e8d349759b8b482a6f2721762c4,86081,86081,21240,0,128561,261665,0,0.32
sat/apn-sbox5-cut4-symmbreak.cnf.bz2,5d471ba40853f3e82d2e9af5cf2a5f4f,86081,86081,15040,0,116161,311265,0,0.334
sat/apn-sbox5-cut5-symmbreak.cnf.bz2,e5930cfb5e34c9102635724f36f987ba,110881,110881,8840,0,128561,534465,0,0.497
