instance_id,hash,declared_clauses,kept_clauses,variables,variables_dropped,nodes,edges,sampled,build_seconds
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,128fdc03329b57efb97c3cdf6ed7e35d,3601247,200000,55782,11518,311564,590840,1,6.668
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,54abc3873dfe2570d3f5b7d3b712fa85,7702617,200000,99888,122957,399776,590741,1,14.053
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,c7482439e933a16905316c248dc42324,1598301,200000,84983,21030,369966,579675,1,3.355
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,be6bce96bab9cec47b58b6c68c9a1c89,7170909,200000,162069,209350,524138,579220,1,13.022
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,f993de9058705dfd766cf1950430f45c,9676386,200000,177246,304847,554492,586511,1,17.53
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,2cdd8d0f948351223500e20c9e631ffd,1603007,200000,247792,126436,695584,469409,1,3.03
SAT-Comp-2016-CNF/app16/ACG-20-5p1.cnf.gz,a01b5dedcb293b7a39ba103b2263b023,1416850,200000,233653,97543,667306,470198,1,2.799
SAT-Comp-2016-CNF/app16/AProVE07-25.cnf.gz,a3d5d022398a6aab97ea26d5429ccb0c,31884,31884,8920,0,49724,83706,0,0.117
SAT-Comp-2016-CNF/app16/AProVE11-06.cnf.gz,f74dd5b556c38fe5cfebc12c89bc2dab,1039056,200000,241479,60597,682958,525353,1,2.548
SAT-Comp-2016-CNF/app16/C168_FW_UT_518.cnf.gz,bf37ac6f7ef02a90df19a316688f4889,7511,7511,1804,105,11119,29193,0,0.028
SAT-Comp-2016-CNF/app16/E00N23.cnf.gz,7fa13f05ddb59096ff2b4cf19624d05e,2210893,200000,6546,8818,213092,1842714,1,6.916
SAT-Comp-2016-CNF/app16/E02F22.cnf.gz,3288819e2dffdab0b865035378499897,1301188,200000,8261,5313,216522,1760457,1,4.072
SAT-Comp-2016-CNF/app16/Sz1024_34824.smt2-stp212.cnf.gz,870ebd2501c12dd597ca5fda0d9c1a90,62036,62036,14653,1,91342,192213,0,0.235
SAT-Comp-2016-CNF/app16/Sz512_15127_1.smt2-stp212.cnf.gz,c2b697d4ac7801f4b010615923732468,22013,22013,5214,1,32441,68086,0,0.09
SAT-Comp-2016-CNF/app16/Sz512_15127_3.smt2-cvc4.cnf.gz,536f3a4dbb98b717f4c58b6e0162882e,15466,15466,5042,0,25550,39616,0,0.054
SAT-Comp-2016-CNF/app16/Sz512_15127_4.smt2-cvc4.cnf.gz,b52aa29d244bf58f84e742a20dd8bf69,33874,33874,10429,0,54732,88915,0,0.252
SAT-Comp-2016-CNF/app16/Sz512_15127_5.smt2-stp212.cnf.gz,95abe7ffd65b2c04a579438c391ee346,21941,21941,5194,1,32329,67926,0,0.085
SAT-Comp-2016-CNF/app16/Sz512_15127_6.smt2-stp212.cnf.gz,ca4b2e306cc33b518dde145745db32d5,17501,17501,4145,1,25791,54148,0,0.067
SAT-Comp-2016-CNF/app16/Sz512_15128_0.smt2-stp212.cnf.gz,529bb3dc6340f2fc0ea617190acc4c31,21941,21941,5202,1,32345,67881,0,0.084
SAT-Comp-2016-CNF/app16/Sz512_15128_1.smt2-cvc4.cnf.gz,6e1d5ef3f8512c8260967d6f8add78ce,33986,33986,10478,0,54942,89155,0,0.122
SAT-Comp-2016-CNF/app16/UCG-20-5p1.cnf.gz,1eaa50c1a65464ef6a3f65f46f6d1a44,1204430,200000,174380,50606,548760,483132,1,2.451
SAT-Comp-2016-CNF/app16/UR-15-10p0.cnf.gz,24075575c3dbd9e9eae948dd2241b029,1005792,200000,164407,34883,528814,475962,1,2.044
SAT-Comp-2016-CNF/app16/UTI-20-10p1.cnf.gz,b6d7213b879df4d18f966babd59c876c,1391257,200000,190279,70063,580558,482415,1,2.735
SAT-Comp-2016-CNF/app16/UTI-20-5p1.cnf.gz,a054dfb1a14d242d4d3e10b2abccdd6e,1207249,200000,175066,50860,550132,482891,1,2.385
SAT-Comp-2016-CNF/app16/abb313GPIA-9-c.used-as.sat04-317.cnf.gz,fb96fbd3e6881c759ba119746351c8e1,484871,200000,6225,3,212450,1588262,1,2.507
SAT-Comp-2016-CNF/app16/ablmulub16x4o.cnf.gz,567964f034c8ffa65952897ce4927c6c,8709,8709,2958,0,14625,20319,0,0.032
SAT-Comp-2016-CNF/app16/ablmulub2x32o.cnf.gz,9e1d9fd2570d90cdd85e8f369295196e,15432,15432,5241,0,25914,36006,0,0.051
SAT-Comp-2016-CNF/app16/ablmulub8x16o.cnf.gz,ffab5112bbf8e8831bc954e9211a6b27,20754,20754,6985,0,34724,48424,0,0.068
SAT-Comp-2016-CNF/app16/add_01_1000_4.smt2-cvc4.cnf.gz,0e187bcfd6e67f3045edc17b9d9bd0e2,92246,92246,19886,0,132018,259056,0,0.335
SAT-Comp-2016-CNF/app16/aes_32_3_keyfind_2.cnf.gz,bd72d53f4762c19efa5213d063372c93,2664,2664,708,0,4080,8392,0,0.011
SAT-Comp-2016-CNF/app16/aes_32_5_keyfind_1.cnf.gz,aeb079663070f1cdef43c8dde2e7b709,4312,4312,1116,0,6544,13688,0,0.017
SAT-Comp-2016-CNF/app16/aes_64_2_keyfind_1.cnf.gz,13002f51482d0b78e9f98fae1672d99a,5176,5176,1000,0,7176,20024,0,0.022
SAT-Comp-2016-CNF/app16/aes_64_3_keyfind_1.cnf.gz,4dff41154a3401cfd40da8caeab83d56,7572,7572,1404,0,10380,29588,0,0.032
SAT-Comp-2016-CNF/app16/ak016modbtsimpbisc.cnf.gz,cc5c7c695cbb6f78c1af80b3e5471db3,17157,17157,5179,0,27515,44885,0,0.06
SAT-Comp-2016-CNF/app16/ak032diagodiagoisc.cnf.gz,fc2b1549abd6cf48f3fd17c14163637c,51330,51330,15873,0,83076,130306,0,0.176
SAT-Comp-2016-CNF/app16/ak032modbtmodbtisc.cnf.gz,314b63e5b44a2c441e10d197f797e18b,57834,57834,17313,0,92460,151714,0,0.202
SAT-Comp-2016-CNF/app16/ak032modbtsimpbisc.cnf.gz,2248eb27346a57992746a10b75dda990,67165,67165,20107,0,107379,176013,0,0.237
SAT-Comp-2016-CNF/app16/ak064boothboothisc.cnf.gz,28d8ae0ddd6c699eb5e42cd65f8df446,354378,200000,106636,871,413272,516011,1,1.092
SAT-Comp-2016-CNF/app16/ak064diagodiagoisc.cnf.gz,48b7bbf2520ca7652296cc19959ed529,209154,200000,64513,0,329026,507714,1,0.734
SAT-Comp-2016-CNF/app16/ak064modasbg2asisc.cnf.gz,dc98cb692e3203258be6d4d31f566388,234053,200000,72833,2,345666,503402,1,0.803
SAT-Comp-2016-CNF/app16/ak064modbtmodbtisc.cnf.gz,ec6ceeb1325ed0c99db7f1447dc68b66,226378,200000,67424,1,334848,525197,1,0.804
SAT-Comp-2016-CNF/app16/ak064paralbg2btaig.cnf.gz,440726d9140cd2414b7d42b3f3dbb97a,407751,200000,132862,3436,465724,466605,1,1.09
SAT-Comp-2016-CNF/app16/ak064paralparalisc.cnf.gz,b0bcf2b116a4c68ddd1467dd30c8a98f,215940,200000,66757,0,333514,507830,1,0.916
SAT-Comp-2016-CNF/app16/ak064simpbbg2btaig.cnf.gz,2599aea8d99ad36471ee4dcc649993ac,406368,200000,132457,3380,464914,466802,1,1.126
SAT-Comp-2016-CNF/app16/ak128astepbg2msaig.cnf.gz,6e858531064077cc8a0dfde91f272dff,1265652,200000,270652,151997,741304,466572,1,2.708
SAT-Comp-2016-CNF/app16/ak128boothbg2btisc.cnf.gz,9e8eea6f4f57f24e4d3ad039b2bd2ef0,1414104,200000,275945,152336,751890,516289,1,3.003
SAT-Comp-2016-CNF/app16/ak128boothboothisc.cnf.gz,714421c7bac197d52b4049df3ceb880a,1413322,200000,276161,151858,752322,515830,1,2.951
SAT-Comp-2016-CNF/app16/ak128diagobg2asaig.cnf.gz,73136fc8525998860da8e165ff184c74,1117434,200000,260042,113199,720084,466755,1,2.324
SAT-Comp-2016-CNF/app16/ak128modasbg2asisc.cnf.gz,47710c9d33ea0a698b8d981387804190,943237,200000,229582,63541,659164,503324,1,2.067
SAT-Comp-2016-CNF/app16/ak128modbtbg2msisc.cnf.gz,9d20bb1bd01838d70177ffd3aa284aeb,968713,200000,230197,65854,660394,511644,1,2.121
SAT-Comp-2016-CNF/app16/ak128paralbg2msisc.cnf.gz,9acdb91461d9d627d7ef5e1b08a46477,951066,200000,231205,64521,662410,503709,1,2.068
SAT-Comp-2016-CNF/app16/ak128paralparalisc.cnf.gz,872eecaa7109fe1e31a510c903e9f877,859948,200000,221123,44180,642246,507865,1,2.014
SAT-Comp-2016-CNF/app16/ak128simpbbg2msisc.cnf.gz,54d199fbc4c450948c3544dda7fb42c5,1128812,200000,249392,94669,698784,512749,1,2.441
SAT-Comp-2016-CNF/app16/am_7_7.shuffled-as.sat03-363.cnf.gz,ba5399e632d509cd7f635e108c6c054b,14751,14751,4264,0,23279,40035,0,0.062
SAT-Comp-2016-CNF/app16/arcfour_initialPermutation_5_32.cnf.gz,5a4c127f7f570f44b4c7a5cc0dcba0e9,87670,87670,23148,1,133966,251448,0,0.332
SAT-Comp-2016-CNF/app16/arcfour_initialPermutation_6_14.cnf.gz,021331d523ad3092616ff99cf0c6c355,405350,200000,104773,970,409546,580299,1,1.191
SAT-Comp-2016-CNF/app16/barman-pfile06-022.sas.ex.7.cnf.gz,aacfb8797097f698d14337d3a04f3065,284930,200000,103688,23504,407376,8498531,1,8.471
SAT-Comp-2016-CNF/app16/barman-pfile07-027.sas.cr.37.cnf.gz,08469bbccc41da0c124d69c61ce7dc58,4937390,200000,65825,53305,331650,409001,1,8.548
SAT-Comp-2016-CNF/app16/barman-pfile08-030.sas.cr.27.cnf.gz,55d6ee7178934d1940318ef5c2011107,5487618,200000,58437,48999,316874,408595,1,9.456
SAT-Comp-2016-CNF/app16/barman-pfile09-036.sas.cr.33.cnf.gz,4a423d08d748970f1d6b965a8f4c7a61,8513036,200000,71166,74932,342332,406389,1,14.294
SAT-Comp-2016-CNF/app16/barman-pfile10-038.sas.cr.25.cnf.gz,06166a0dd78f45c213add974a6711dfe,7373206,200000,60567,58695,321134,405642,1,12.79
SAT-Comp-2016-CNF/app16/barman-pfile10-040.sas.cr.17.cnf.gz,70dc3f80b9e937dd5db516b19615b6ec,5104398,200000,46128,36438,292256,407568,1,8.792
SAT-Comp-2016-CNF/app16/barman-pfile10-040.sas.cr.21.cnf.gz,38aa1b58565a7b48d7a71cc926a947b0,6238802,200000,53317,47597,306634,407115,1,10.899
SAT-Comp-2016-CNF/app16/countbitsarray04_32.cnf.gz,67d564fff5bc9f27c0800783a1bc85b7,25865,25865,8750,0,43365,60349,0,0.087
SAT-Comp-2016-CNF/app16/countbitssrl128.cnf.gz,b86fb8a1c823be5dc73b89d3b20dfda8,904892,200000,236633,65126,673266,466726,1,2.024
SAT-Comp-2016-CNF/app16/ctl_3791_556_unsat.cnf.gz,2202872ca3566b20d48fdfe34d526219,111990,111990,16541,0,145072,398379,0,0.442
SAT-Comp-2016-CNF/app16/ctl_4291_567_8_unsat.cnf.gz,ef7c4d1f09b699b8ab468c939e8fdb78,147312,147312,17850,0,183012,494730,0,0.569
SAT-Comp-2016-CNF/app16/cube-11-h13-unsat.cnf.gz,a14c75743148ed4b79747a65736b4c91,1367522,200000,260794,194833,721588,466735,1,2.877
SAT-Comp-2016-CNF/app16/custmulsb2x32o.cnf.gz,1e43089090db421e981fe62b3f3dbce7,13677,13677,4660,0,22997,31911,0,0.047
SAT-Comp-2016-CNF/app16/custmulun16x16o.cnf.gz,61687dad894a32d4b5fbd00023cf694a,10626,10626,3633,0,17892,24792,0,0.037
SAT-Comp-2016-CNF/app16/dated-10-19-u.cnf.gz,c596ce4ec92abfaa76f535251ebee0a6,1169243,200000,196305,50197,592610,463425,1,2.432
SAT-Comp-2016-CNF/app16/div2.c.20.smt2-stp212.cnf.gz,e2a4efb9bfa8fd8af53fc9952d62e0fe,668917,200000,135767,4381,471534,624572,1,1.73
SAT-Comp-2016-CNF/app16/e2_1.c.smt2-stp212.cnf.gz,e413c9b2f778c586990a054dff100d89,98163,98163,24292,1,146747,291106,0,0.493
SAT-Comp-2016-CNF/app16/e2_2.c.smt2-cvc4.cnf.gz,47c04ee3a0d07cbbc272f4af73c9ef3c,39060,39060,8443,0,55946,109429,0,0.141
SAT-Comp-2016-CNF/app16/e2a_2.c.smt2-cvc4.cnf.gz,f81c3aeaf852faf68af51f9c2820184d,34725,34725,7114,0,48953,98058,0,0.126
SAT-Comp-2016-CNF/app16/eq.atree.braun.11.unsat.cnf.gz,65c52c85128e3e78431984e5cd96e315,4732,4732,1400,0,7532,12300,0,0.017
SAT-Comp-2016-CNF/app16/eq.atree.braun.12.unsat.cnf.gz,bc895df6a129123e196ab5912ea44d02,5726,5726,1694,0,9114,14874,0,0.02
