selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,9860.060028301885,1221.9134925300427,9860.060028301885,7003.02911209767,0.0,0.0,0.0,0.22752497225305215,2857.030916204218,0.8096559378468369,1802,10,0
"Size-clf(hgb, cost-sensitive)",10371.755657602664,1519.0567696448318,9860.060028301885,7003.02911209767,-0.17910048729210315,-0.19340716207913078,0.3798669446657572,0.38235294117647056,3368.7265455049946,0.7991120976692564,1802,10,1
"Size-reg(hgb, log-cost)",9740.72495893452,1555.9499539842354,9860.060028301885,7003.02911209767,0.0417689107564546,0.01748565297535402,0.4150641187343025,0.37846836847946724,2737.695846836848,0.8113207547169812,1802,10,1
"Feat-clf(hgb, cost-sensitive)",9086.855562153163,1241.2255991947175,9860.060028301885,7003.02911209767,0.2706321663386069,0.2812538498635792,0.15462878292963889,0.5405105438401776,2083.8264500554938,0.8240843507214206,1802,10,0
"Feat-reg(hgb, log-cost)",9121.425231409545,1393.7957637630288,9860.060028301885,7003.02911209767,0.2585323080345498,0.23292504402296893,0.24848644950247278,0.416204217536071,2118.3961193118757,0.8235294117647058,1802,10,0
"Graph-clf(hgb, cost-sensitive)",9507.700603773586,1143.2846817418315,9860.060028301885,7003.02911209767,0.12333063059619774,0.11768122605917397,0.250173912275544,0.4816870144284129,2504.6714916759156,0.8157602663706992,1802,10,0
"Graph-reg(hgb, log-cost)",9573.703390122086,1376.5492878826299,9860.060028301885,7003.02911209767,0.10022875025806369,0.08789447519415867,0.3171540092932271,0.3851276359600444,2570.6742780244176,0.8146503884572697,1802,10,0
"Hybrid-clf(hgb, cost-sensitive)",8951.884700887902,1286.1515790903263,9860.060028301885,7003.02911209767,0.3178738186776654,0.33009967174840615,0.159123419773471,0.5438401775804661,1948.855588790233,0.8268590455049944,1802,10,0
"Hybrid-reg(hgb, log-cost)",9207.626579356269,1450.6403979369375,9860.060028301885,7003.02911209767,0.2283606541480566,0.21029638063068518,0.2750064554912437,0.42452830188679247,2204.5974672586017,0.8218645948945617,1802,10,0
VBS (oracle),7003.02911209767,1189.4140855701974,9860.060028301885,7003.02911209767,1.0,1.0,0.0,1.0,0.0,0.865149833518313,1802,10,0
