selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,23763.149134314222,3779.8742298101033,23763.149134314222,16837.687475109713,0.0,0.0,0.0,0.5375375375375375,6925.461659204507,0.5345345345345346,333,10,0
"Size-clf(hgb, cost-sensitive)",20486.908042343195,3483.5063755560914,23763.149134314222,16837.687475109713,0.47307186916797567,0.36257789262737977,0.440090838122872,0.6456456456456456,3649.220567233477,0.6006006006006006,333,10,0
"Size-reg(hgb, log-cost)",20334.594639041952,3627.597574180922,23763.149134314222,16837.687475109713,0.495065118253227,0.46955928880263215,0.3993539424277588,0.6486486486486487,3496.907163932237,0.6036036036036037,333,10,0
"Feat-clf(hgb, cost-sensitive)",18814.887673732686,2817.58559225551,23763.149134314222,16837.687475109713,0.7145027586723968,0.6667306581543243,0.2421654482684889,0.7297297297297297,1977.20019862297,0.6336336336336337,333,10,0
"Feat-reg(hgb, log-cost)",18679.501055854456,3361.53258257786,23763.149134314222,16837.687475109713,0.7340518695534439,0.7417312998018412,0.17513245510925401,0.7567567567567568,1841.8135807447418,0.6366366366366366,333,10,0
"Graph-clf(hgb, cost-sensitive)",18988.887077704087,2727.8588453994726,23763.149134314222,16837.687475109713,0.6893781658966732,0.716303480938497,0.2206973693203883,0.7177177177177178,2151.199602594372,0.6306306306306306,333,10,0
"Graph-reg(hgb, log-cost)",19690.94166416504,3100.878663403358,23763.149134314222,16837.687475109713,0.588005200308471,0.5628269439581064,0.243860895207372,0.6876876876876877,2853.2541890553216,0.6156156156156156,333,10,0
"Hybrid-clf(hgb, cost-sensitive)",18809.110330151787,3060.1222709249673,23763.149134314222,16837.687475109713,0.715336976500059,0.6846487384951234,0.2656119087865126,0.7507507507507507,1971.4228550420721,0.6336336336336337,333,10,0
"Hybrid-reg(hgb, log-cost)",18979.073163047065,2917.9838107641326,23763.149134314222,16837.687475109713,0.6907952432180063,0.6459015292928685,0.273915015475716,0.7147147147147147,2141.3856879373516,0.6306306306306306,333,10,0
VBS (oracle),16837.687475109713,3392.123699180358,23763.149134314222,16837.687475109713,1.0,1.0,0.0,1.0,0.0,0.6726726726726727,333,10,0
