selector,fraction,repeat,n_train,par10,gap_closed,accuracy,sbs_par10,vbs_par10
Size-reg,0.1,0,180.0,11090.611348,-0.3074149910429927,0.2855,10126.8346995,6991.734992000001
Feat-clf,0.1,0,180.0,10552.3731755,-0.13573363391983975,0.397,10126.8346995,6991.734992000001
Feat-reg,0.1,0,180.0,10507.270091,-0.12134714267297389,0.3085,10126.8346995,6991.734992000001
Size-reg,0.1,1,180.0,10615.037683,-0.1557216768360154,0.283,10126.8346995,6991.734992000001
Feat-clf,0.1,1,180.0,10772.3849335,-0.20591059112272286,0.3865,10126.8346995,6991.734992000001
Feat-reg,0.1,1,180.0,10362.584118499999,-0.07519678510894692,0.3075,10126.8346995,6991.734992000001
Size-reg,0.3,0,540.0,10661.353844500001,-0.17049510218807043,0.3245,10126.8346995,6991.734992000001
Feat-clf,0.3,0,540.0,9486.5939025,0.20421704466635335,0.47,10126.8346995,6991.734992000001
Feat-reg,0.3,0,540.0,10060.131100000002,0.02127638854369577,0.3585,10126.8346995,6991.734992000001
Size-reg,0.3,1,540.0,10579.7043775,-0.14445144341553645,0.3115,10126.8346995,6991.734992000001
Feat-clf,0.3,1,540.0,9760.5681205,0.1168277289949635,0.458,10126.8346995,6991.734992000001
Feat-reg,0.3,1,540.0,9747.352245999999,0.12104318487612276,0.364,10126.8346995,6991.734992000001
Size-reg,1.0,0,1800.0,9804.425796,0.10283848476292834,0.3655,10126.8346995,6991.734992000001
Feat-clf,1.0,0,1800.0,9121.6199885,0.3206324534416739,0.535,10126.8346995,6991.734992000001
Feat-reg,1.0,0,1800.0,9335.2035765,0.2525058839775352,0.4175,10126.8346995,6991.734992000001
