selector,fraction,repeat,n_train,par10,gap_closed,accuracy,sbs_par10,vbs_par10
Size-reg,0.1,0,32.0,22418.587745969187,0.20443415725456635,0.546742209631728,23839.697334773628,16888.26804385117
Feat-clf,0.1,0,32.0,22437.17542473466,0.2017602210052619,0.56657223796034,23839.697334773628,16888.26804385117
Feat-reg,0.1,0,32.0,22418.587745969187,0.20443415725456635,0.546742209631728,23839.697334773628,16888.26804385117
Size-reg,0.1,1,32.0,23371.001394404295,0.0674243987465111,0.5637393767705382,23839.697334773628,16888.26804385117
Feat-clf,0.1,1,32.0,23371.001394404295,0.0674243987465111,0.5637393767705382,23839.697334773628,16888.26804385117
Feat-reg,0.1,1,32.0,23371.001394404295,0.0674243987465111,0.5637393767705382,23839.697334773628,16888.26804385117
Size-reg,0.1,2,32.0,23086.470015686045,0.10835574779868452,0.5354107648725213,23839.697334773628,16888.26804385117
Feat-clf,0.1,2,32.0,23030.0716466078,0.11646895253945522,0.5240793201133145,23839.697334773628,16888.26804385117
Feat-reg,0.1,2,32.0,23086.470015686045,0.10835574779868452,0.5354107648725213,23839.697334773628,16888.26804385117
Size-reg,0.2,0,63.7,22427.516579136816,0.2031496972113219,0.5864022662889519,23839.697334773628,16888.26804385117
Feat-clf,0.2,0,63.7,20972.841355084234,0.412412449254585,0.603399433427762,23839.697334773628,16888.26804385117
Feat-reg,0.2,0,63.7,20737.76991830083,0.44622872313805423,0.6317280453257791,23839.697334773628,16888.26804385117
Size-reg,0.2,1,63.7,22002.762729819868,0.26425279292598514,0.6090651558073654,23839.697334773628,16888.26804385117
Feat-clf,0.2,1,63.7,20439.93443433802,0.48907393834462154,0.6657223796033994,23839.697334773628,16888.26804385117
Feat-reg,0.2,1,63.7,21013.951982963037,0.4064984672289766,0.6203966005665722,23839.697334773628,16888.26804385117
Size-reg,0.2,2,63.7,22687.471633480873,0.16575378286554565,0.5580736543909348,23839.697334773628,16888.26804385117
Feat-clf,0.2,2,63.7,21590.875415030256,0.3235049693564462,0.5920679886685553,23839.697334773628,16888.26804385117
Feat-reg,0.2,2,63.7,20361.285143491747,0.5003880562842199,0.6345609065155807,23839.697334773628,16888.26804385117
Size-reg,0.3,0,95.0,21173.201700296955,0.3835895501316144,0.603399433427762,23839.697334773628,16888.26804385117
Feat-clf,0.3,0,95.0,19358.562317576947,0.6446350570016418,0.6827195467422096,23839.697334773628,16888.26804385117
Feat-reg,0.3,0,95.0,20057.37794891614,0.5441067192896057,0.6458923512747875,23839.697334773628,16888.26804385117
Size-reg,0.3,1,95.0,22913.720452351234,0.13320668939718386,0.5920679886685553,23839.697334773628,16888.26804385117
Feat-clf,0.3,1,95.0,22077.232093282753,0.2535399797265282,0.660056657223796,23839.697334773628,16888.26804385117
Feat-reg,0.3,1,95.0,21089.182025625832,0.3956762262891119,0.6458923512747875,23839.697334773628,16888.26804385117
Size-reg,0.3,2,95.0,22089.362328819905,0.25179498096016056,0.6203966005665722,23839.697334773628,16888.26804385117
Feat-clf,0.3,2,95.0,19537.59877464479,0.6188797123703387,0.6657223796033994,23839.697334773628,16888.26804385117
Feat-reg,0.3,2,95.0,20292.8227491398,0.5102367350935331,0.6827195467422096,23839.697334773628,16888.26804385117
Size-reg,0.5,0,158.7,20159.135828698036,0.5294683081768325,0.6515580736543909,23839.697334773628,16888.26804385117
Feat-clf,0.5,0,158.7,19613.473046990384,0.6079647955711884,0.6968838526912181,23839.697334773628,16888.26804385117
Feat-reg,0.5,0,158.7,19331.704429994286,0.6484987066855612,0.7138810198300283,23839.697334773628,16888.26804385117
Size-reg,0.5,1,158.7,20991.042735477906,0.4097940840764424,0.6515580736543909,23839.697334773628,16888.26804385117
