name,config,config_hash,git_commit,dirty,started_utc,seconds,exit_code,outputs,command_line
e9_sat18_portfolio_aslib,configs/e9_sat18_portfolio_aslib.yaml,35766b037b7f,2ebdac3,0,2026-09-24T20:31:54+00:00,48.2,0,experiments/e9_protocol/results/sat18_portfolio_aslib.csv,hsat experiment data/SAT18-EXP --portfolio --split aslib --out experiments/e9_protocol/results/sat18_portfolio_aslib.csv
e9_sat18_portfolio_family,configs/e9_sat18_portfolio_family.yaml,66546698214d,2ebdac3,0,2026-09-24T20:32:42+00:00,46.8,0,experiments/e9_protocol/results/sat18_portfolio_family.csv,hsat experiment data/SAT18-EXP --portfolio --split family --out experiments/e9_protocol/results/sat18_portfolio_family.csv
e9_sat20_portfolio_aslib,configs/e9_sat20_portfolio_aslib.yaml,664b341c3577,2ebdac3,0,2026-09-24T20:33:29+00:00,63.6,0,experiments/e9_protocol/results/sat20_portfolio_aslib.csv,hsat experiment data/SAT20-MAIN --portfolio --split aslib --out experiments/e9_protocol/results/sat20_portfolio_aslib.csv
e9_sat20_portfolio_family,configs/e9_sat20_portfolio_family.yaml,f50dadc22c02,2ebdac3,0,2026-09-24T20:34:33+00:00,64.6,0,experiments/e9_protocol/results/sat20_portfolio_family.csv,hsat experiment data/SAT20-MAIN --portfolio --split family --out experiments/e9_protocol/results/sat20_portfolio_family.csv
e9_curves_sat18_portfolio,configs/e9_curves_sat18_portfolio.yaml,e403f5fd65ce,2ebdac3,0,2026-09-24T20:35:37+00:00,277.0,0,experiments/e9_protocol/results/curves_sat18_portfolio.csv,hsat curves data/SAT18-EXP --portfolio --out experiments/e9_protocol/results/curves_sat18_portfolio.csv
e9_tune_sat18_portfolio,configs/e9_tune_sat18_portfolio.yaml,f3a43ebdb1d7,2ebdac3,0,2026-09-24T20:40:14+00:00,1301.3,0,experiments/e9_protocol/results/tune_sat18_portfolio.csv;experiments/e9_protocol/results/tune_sat18_portfolio.json,hsat tune data/SAT18-EXP --portfolio --out experiments/e9_protocol/results/tune_sat18_portfolio.csv --report experiments/e9_protocol/results/tune_sat18_portfolio.json
e9_tune_sat18_portfolio_family,configs/e9_tune_sat18_portfolio_family.yaml,cda588e2b657,2ebdac3,0,2026-09-24T21:01:56+00:00,1256.5,0,experiments/e9_protocol/results/tune_sat18_portfolio_family.csv;experiments/e9_protocol/results/tune_sat18_portfolio_family.json,hsat tune data/SAT18-EXP --portfolio --split family --out experiments/e9_protocol/results/tune_sat18_portfolio_family.csv --report experiments/e9_protocol/results/tune_sat18_portfolio_family.json
e9_indu_aslib,configs/e9_indu_aslib.yaml,1c4c72bbecee,2ebdac3,0,2026-09-24T21:22:52+00:00,1766.0,0,experiments/e9_protocol/results/indu_aslib.csv,hsat experiment data/SAT03-16_INDU --split aslib --out experiments/e9_protocol/results/indu_aslib.csv
e9_indu_family,configs/e9_indu_family.yaml,ce082287b9ff,2ebdac3,0,2026-09-24T21:52:18+00:00,1766.7,0,experiments/e9_protocol/results/indu_family.csv,hsat experiment data/SAT03-16_INDU --split family --out experiments/e9_protocol/results/indu_family.csv
e9_curves_indu,configs/e9_curves_indu.yaml,52699e9192ce,2ebdac3,0,2026-09-24T22:21:45+00:00,3679.2,0,experiments/e9_protocol/results/curves_indu.csv,"hsat curves data/SAT03-16_INDU --out experiments/e9_protocol/results/curves_indu.csv --fractions 0.1,0.3,1.0 --repeats 2"
e9_tune_indu,configs/e9_tune_indu.yaml,cea6ee8bc598,2ebdac3,0,2026-09-24T23:23:04+00:00,10694.9,0,experiments/e9_protocol/results/tune_indu.csv;experiments/e9_protocol/results/tune_indu.json,hsat tune data/SAT03-16_INDU --out experiments/e9_protocol/results/tune_indu.csv --report experiments/e9_protocol/results/tune_indu.json --grid small --inner-folds 2
